/begin_header
/start_date=1970-01-01
/end_date=2030-01-01
/north_latitude=90[deg]
/south_latitude=-90[deg]
/east_longitude=180[deg]
/west_longitude=-180[deg]
! Date processed: 2021-08-25 17:47:25 GMT
! Date archived: 1970-01-01 to 2030-01-01
! Water depth: 0 to 10000
! Data source: seabass
! Exclusions:
!                                                             , SeaWiFS             
!  Minimum valid satellite pixels                             ,                  50 
!  Maximum solar zenith angle                                 ,                  75 
!  Maximum satellite zenith angle                             ,                  60 
!  Maximum time difference between satellite and in situ      ,                   3 
!  Maximum coefficient of variation of satellite pixels       ,                0.15 
!  Maximum irradiance difference between measured and modeled ,                  20 
!  Maximum windspeed                                          ,                  35 
!  Most Data Recent Update                                    , 2018-05-03 20:21:26 
! Statistics:
!  Product Name , #    , Mean Bias , Mean Absolute Percent , Mean Absolute Error (MAE) , SeaWiFS Range        , In situ Range        
!  chlor_a      , 2278 ,   1.02610 , NaN                   ,                   1.64047 , 0.027514 - 180.86721 , 0.009000 - 138.04700 
/missing=-999
/delimiter=comma
/fields=id,latitude,longitude,date_time,cruise,seawifs_filename,seawifs_es_error,seawifs_pixel_total,seawifs_tdiff,seawifs_solz,seawifs_senz,seawifs_cv,seawifs_windspeed,seawifs_chlor_a,insitu_chlor_a_type,insitu_chlor_a,seawifs_rrs412,seawifs_rrs443,seawifs_rrs490,seawifs_rrs510,seawifs_rrs555,seawifs_rrs670
/units=none,degrees,degrees,yyyy-mm-dd hh:mm:ss,none,none,unitless,unitless,seconds,degrees,degrees,unitless,m*s^-1,mg*m^-3,unitless,mg*m^-3,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1
/end_header
280136,29.05270000,-87.32320000,2010-05-13 21:02:00,2010_05_wbii,S2010133195617.L2_MLAC.R0000020308_2010_05_wbii_280136.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,-2866,35.43,29.85,0.110,6.367,0.19178500,chl,0.17375000,0.00468400,0.00458000,0.00397600,0.00284800,0.00141000,-0.00002200
211974,17.69680000,-66.00120000,2003-10-28 18:12:00,a22,S2003301161018.L2_MLAC.R0000020313_17N_17N_66W_65W.hdf_OCVAL.nc_a22_211974_B5.tgz,0.00000000,25,-6455,31.10,49.79,0.024,1.987,0.08790600,chl,0.06900000,0.01074400,0.00879500,0.00603200,0.00324100,0.00154900,0.00011200
1265,45.31390000,12.50830000,2003-03-18 11:23:00,aaot_2003,S2003077110425.L2_MLAC.R0000020314_45N_45N_12E_12E.hdf_OCVAL.nc_aaot_2003_1265_B5.tgz,0.00000000,25,-507,46.33,54.02,0.136,0.336,1.97452500,chl_a,2.09430003,0.00421200,0.00480600,0.00662500,0.00660400,0.00620900,0.00098400
1268,45.31390000,12.50830000,2003-05-13 10:15:00,aaot_2003,S2003133112858.L2_MLAC.R0000020314_45N_45N_12E_12E.hdf_OCVAL.nc_aaot_2003_1268_B5.tgz,0.00000000,25,5341,28.09,27.49,0.051,2.457,1.77938800,chl_a,0.96619999,0.00445100,0.00495300,0.00566300,0.00564200,0.00528400,0.00092100
1276,45.31390000,12.50830000,2003-06-20 11:59:00,aaot_2003,S2003171110723.L2_MLAC.R0000020314_45N_45N_12E_12E.hdf_OCVAL.nc_aaot_2003_1276_B5.tgz,0.00000000,25,-2101,22.03,47.91,0.083,3.460,1.12144400,chl_a,0.71310002,0.00337800,0.00370100,0.00446600,0.00414200,0.00353100,0.00031600
1287,45.31390000,12.50830000,2003-07-08 10:30:00,aaot_2003,S2003189115451.L2_MLAC.R0000020314_45N_45N_12E_12E.hdf_OCVAL.nc_aaot_2003_1287_B5.tgz,0.00000000,25,6047,25.51,31.87,0.085,3.084,0.69275900,chl_a,0.37369999,0.00578600,0.00564800,0.00547800,0.00490000,0.00372300,0.00021400
279946,23.01390000,59.97550000,2010-03-10 11:37:00,abudhabi-masqat,S2010069095904.L2_GAC.R0000020316_abudhabi-masqat_279946.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,-5159,40.02,34.64,0.098,2.418,2.52423300,chl_a,1.34200001,-0.00131800,0.00023000,0.00143800,0.00185600,0.00193800,0.00061700
16850,24.42300000,-56.17200000,1999-01-19 16:40:00,aerosols_indoex_99,S1999019152251.L2_MLAC.R0000020323_24N_24N_56W_56W.hdf_OCVAL.nc_aerosols_indoex_99_16850_B5.tgz,0.00000000,25,-4112,45.13,54.10,0.015,8.248,0.07322300,chl,0.31000000,0.01060500,0.00880600,0.00561700,0.00287300,0.00115500,0.00007400
16859,-4.28300000,-17.90000000,1999-01-29 12:30:00,aerosols_indoex_99,S1999029125458.L2_MLAC.R0000020323_4S_4S_17W_17W.hdf_OCVAL.nc_aerosols_indoex_99_16859_B5.tgz,0.00000000,25,2510,14.03,22.23,0.022,5.613,0.13636000,chl,0.11400000,0.00762000,0.00627000,0.00477500,0.00287700,0.00128400,0.00009800
16865,-23.22800000,4.52000000,1999-02-04 11:05:00,aerosols_indoex_99,S1999035104627.L2_GAC.R0000020323_23S_23S_4E_4E.hdf_OCVAL.nc_aerosols_indoex_99_16865_B5.tgz,0.00000000,25,182,13.14,44.49,0.020,6.467,0.07854500,chl,0.07600000,0.01103700,0.00900800,0.00603700,0.00331200,0.00145300,0.00012500
16867,-28.97000000,11.79900000,1999-02-06 10:30:00,aerosols_indoex_99,S1999037103636.L2_MLAC.R0000020323_28S_28S_11E_11E.hdf_OCVAL.nc_aerosols_indoex_99_16867_B5.tgz,0.00000000,25,1782,14.68,22.88,0.024,6.733,0.16604200,chl,0.13300000,0.00633500,0.00607400,0.00493600,0.00324600,0.00167300,0.00025400
16869,-34.22600000,18.07500000,1999-02-11 11:30:00,aerosols_indoex_99,S1999042092229.L2_MLAC.R0000020323_34S_34S_18E_18E.hdf_OCVAL.nc_aerosols_indoex_99_16869_B5.tgz,0.00000000,25,-6123,26.15,57.87,0.069,7.909,1.28821100,chl,1.63100004,0.00264000,0.00239000,0.00266500,0.00246500,0.00224300,0.00040400
16873,-29.99300000,36.34100000,1999-02-15 09:50:00,aerosols_indoex_99,S1999046090247.L2_MLAC.R0000020323_29S_29S_36E_36E.hdf_OCVAL.nc_aerosols_indoex_99_16873_B5.tgz,0.00000000,25,-1387,17.95,28.22,0.029,5.414,0.07157100,chl,0.03000000,0.01282100,0.00985600,0.00647000,0.00366900,0.00161500,0.00017600
16880,-3.68100000,64.47300000,1999-02-26 06:40:00,aerosols_indoex_99,S1999057071854.L2_MLAC.R0000020323_3S_3S_64E_64E.hdf_OCVAL.nc_aerosols_indoex_99_16880_B5.tgz,0.00000000,25,3489,6.66,23.75,0.015,2.788,0.11583100,chl,0.19800000,0.00962900,0.00742100,0.00540700,0.00318900,0.00152400,0.00019900
16882,2.33600000,71.54200000,1999-02-28 05:45:00,aerosols_indoex_99,S1999059070854.L2_MLAC.R0000020323_2N_2N_71E_71E.hdf_OCVAL.nc_aerosols_indoex_99_16882_B5.tgz,0.00000000,25,6099,10.43,30.48,0.115,4.567,0.18824300,chl,0.20999999,0.00770900,0.00712600,0.00595000,0.00435500,0.00224500,0.00066300
16888,17.02400000,67.01200000,1999-03-11 05:40:00,aerosols_indoex_99,S1999070070352.L2_MLAC.R0000020323_17N_17N_67E_67E.hdf_OCVAL.nc_aerosols_indoex_99_16888_B5.tgz,0.00000000,25,5934,21.65,49.90,0.014,7.742,0.30882500,chl,0.28000000,0.00376000,0.00371800,0.00375500,0.00262400,0.00154300,0.00017000
